condition_id,argmax_accuracy,bin,confidence_calibration_gap,count,display_name,framing,lower_probability_inclusive,mean_argmax_confidence,mean_probability_yes,observed_yes_rate,probability_calibration_gap,probability_field,upper_probability_exclusive,upper_probability_inclusive,weight
baseline.robust_2B.with_manual,1.0,6,0.4795222466596557,5,Baseline 2B — with manual,yes_no,0.5,0.5204777533403443,0.5204777533403443,1.0,0.4795222466596557,verdict_prob_belongs,0.6,,0.0016666666666666668
baseline.robust_2B.with_manual,,7,,0,Baseline 2B — with manual,yes_no,0.6,,,,,verdict_prob_belongs,0.7,,0.0
baseline.robust_2B.with_manual,,8,,0,Baseline 2B — with manual,yes_no,0.7,,,,,verdict_prob_belongs,0.8,,0.0
baseline.robust_2B.with_manual,,9,,0,Baseline 2B — with manual,yes_no,0.8,,,,,verdict_prob_belongs,0.9,,0.0
baseline.robust_2B.with_manual,,10,,0,Baseline 2B — with manual,yes_no,0.9,,,,,verdict_prob_belongs,,1.0,0.0
baseline.robust_2B.with_manual,,1,,0,Baseline 2B — with manual,true_false,0.0,,,,,boolean_prob_true,0.1,,0.0
baseline.robust_2B.with_manual,,2,,0,Baseline 2B — with manual,true_false,0.1,,,,,boolean_prob_true,0.2,,0.0
baseline.robust_2B.with_manual,,3,,0,Baseline 2B — with manual,true_false,0.2,,,,,boolean_prob_true,0.3,,0.0
baseline.robust_2B.with_manual,,4,,0,Baseline 2B — with manual,true_false,0.3,,,,,boolean_prob_true,0.4,,0.0
baseline.robust_2B.with_manual,,5,,0,Baseline 2B — with manual,true_false,0.4,,,,,boolean_prob_true,0.5,,0.0
baseline.robust_2B.with_manual,0.0,6,0.5583269943353745,1,Baseline 2B — with manual,true_false,0.5,0.5583269943353745,0.5583269943353745,0.0,0.5583269943353745,boolean_prob_true,0.6,,0.0003333333333333333
baseline.robust_2B.with_manual,0.0,7,0.6637428233485143,22,Baseline 2B — with manual,true_false,0.6,0.6637428233485143,0.6637428233485143,0.0,0.6637428233485143,boolean_prob_true,0.7,,0.007333333333333333
baseline.robust_2B.with_manual,0.10087719298245613,8,0.6685151240148679,228,Baseline 2B — with manual,true_false,0.7,0.769392316997324,0.769392316997324,0.10087719298245613,0.6685151240148679,boolean_prob_true,0.8,,0.076
baseline.robust_2B.with_manual,0.266548463356974,9,0.5953360699068003,1692,Baseline 2B — with manual,true_false,0.8,0.8618845332637743,0.8618845332637743,0.266548463356974,0.5953360699068003,boolean_prob_true,0.9,,0.564
baseline.robust_2B.with_manual,0.49763481551561023,10,0.42560323669561767,1057,Baseline 2B — with manual,true_false,0.9,0.9232380522112279,0.9232380522112279,0.49763481551561023,0.42560323669561767,boolean_prob_true,,1.0,0.35233333333333333
baseline.robust_4B.no_manual,,1,,0,Baseline 4B — no manual,yes_no,0.0,,,,,verdict_prob_belongs,0.1,,0.0
baseline.robust_4B.no_manual,,2,,0,Baseline 4B — no manual,yes_no,0.1,,,,,verdict_prob_belongs,0.2,,0.0
baseline.robust_4B.no_manual,,3,,0,Baseline 4B — no manual,yes_no,0.2,,,,,verdict_prob_belongs,0.3,,0.0
baseline.robust_4B.no_manual,,4,,0,Baseline 4B — no manual,yes_no,0.3,,,,,verdict_prob_belongs,0.4,,0.0
baseline.robust_4B.no_manual,,5,,0,Baseline 4B — no manual,yes_no,0.4,,,,,verdict_prob_belongs,0.5,,0.0
baseline.robust_4B.no_manual,,6,,0,Baseline 4B — no manual,yes_no,0.5,,,,,verdict_prob_belongs,0.6,,0.0
baseline.robust_4B.no_manual,,7,,0,Baseline 4B — no manual,yes_no,0.6,,,,,verdict_prob_belongs,0.7,,0.0
baseline.robust_4B.no_manual,0.0,8,0.7825147795451342,2,Baseline 4B — no manual,yes_no,0.7,0.7825147795451342,0.7825147795451342,0.0,0.7825147795451342,verdict_prob_belongs,0.8,,0.0006666666666666666
baseline.robust_4B.no_manual,0.06889352818371608,9,0.8111037080905392,479,Baseline 4B — no manual,yes_no,0.8,0.8799972362742553,0.8799972362742553,0.06889352818371608,0.8111037080905392,verdict_prob_belongs,0.9,,0.15966666666666668
baseline.robust_4B.no_manual,0.38388249305279876,10,0.5546140100673927,2519,Baseline 4B — no manual,yes_no,0.9,0.9384965031201915,0.9384965031201915,0.38388249305279876,0.5546140100673927,verdict_prob_belongs,,1.0,0.8396666666666667
baseline.robust_4B.no_manual,,1,,0,Baseline 4B — no manual,true_false,0.0,,,,,boolean_prob_true,0.1,,0.0
baseline.robust_4B.no_manual,,2,,0,Baseline 4B — no manual,true_false,0.1,,,,,boolean_prob_true,0.2,,0.0
baseline.robust_4B.no_manual,,3,,0,Baseline 4B — no manual,true_false,0.2,,,,,boolean_prob_true,0.3,,0.0
